county,disp_2023,disp_2022,disp_2021,disp_2020,disp_2019,paid_2023,paid_2022,paid_2021,paid_2020,paid_2019
Hidalgo,"16,567","11,381","8,672","10,507","16,141","9,011","6,394","5,408","7,129","10,830"
Hill,626,637,602,753,971,282,294,229,343,394
Hockley,370,286,248,320,448,161,137,158,131,219
Hood,766,747,803,632,915,337,321,380,284,471
Hopkins,460,487,468,672,768,167,191,68,67,80
Houston,453,373,288,267,313,322,234,213,209,215
Howard,828,937,623,649,624,223,180,138,98,147
Hudspeth,23,2,53,44,74,13,7,2,8,33
Hunt,879,"1,279","1,170",713,"1,637",739,855,694,460,776
Hutchinson,323,360,375,249,424,182,180,112,64,69
Irion,10,7,7,25,18,2,2,0,0,0
Jack,119,134,142,142,105,57,51,52,48,28
Jackson,362,435,435,442,444,35,80,54,45,72
Jasper,471,448,418,319,585,241,200,163,135,214
Jeff Davis,8,22,4,23,41,0,4,0,5,5
Jefferson,"2,730","3,662","3,642","2,852","4,706","1,541","1,873","1,531",602,574
Jim Hogg,84,20,7,5,62,0,101,5,9,41
Jim Wells,354,331,275,409,535,219,268,88,161,133
Johnson,"1,819","1,861","1,667","1,821","2,248",749,737,589,547,894
Jones,237,205,162,239,273,102,96,94,129,153
Karnes,255,373,240,296,375,142,258,105,123,169
Kaufman,"1,145","1,440","1,316","1,288","2,107",723,855,826,776,"1,065"
Kendall,738,718,679,635,"1,059",332,308,234,233,278
Kenedy,73,93,30,86,161,3,2,4,12,5
Kent,1,0,7,3,3,1,0,0,0,0
Kerr,"1,208",986,846,818,"1,563",724,566,209,592,650
Kimble,129,95,84,98,186,11,16,0,6,8
King,0,0,0,3,3, ,0, , , 
Kinney,"1,010",965,31,36,49,15,0,1,0,1
Kleberg,937,796,790,650,967,738,621,565,472,721
Knox,33,36,29,30,46,5,0,19,3,8
Lamar,777,618,651,513,959,433,564,548,389,336
Lamb,118,134,62,110,102,35,43,38,48,57
Lampasas,281,268,253,302,370,55,71,54,52,65
La Salle,378,306,214,140,451,54,36,24,37,87
Lavaca,171,164,141,179,279,108,10,89,80,147
Lee,386,377,440,478,587,148,128,144,144,192
Leon,128,98,104,174,279,88,30,43,34,77
Liberty,"1,122","1,191","1,082","1,197","1,655",641,692,643,388,350
Limestone,242,282,218,251,376,75,84,73,88,136
Lipscomb,14,22,0,14,13,0,7,0,7,7
Live Oak,248,270,262,218,331,228,85,67,84,148
Llano,247,352,409,287,463,138,117,76,47,53
Loving,35,67,85,65,19,0,2,1,2,0
Lubbock,"3,566",355,"1,701","2,492","2,950","4,676","2,587","3,002","3,480","3,776"
Lynn,117,124,33,62,140,34,33,22,15,21
McCulloch,239,135,156,75,195,64,41,37,20,43
McLennan,"3,552","3,818","2,567","2,425","5,056","2,169","2,199","1,843","1,814","2,838"
McMullen,54,78,73,57,59,22,17,13,22,17
Madison,187,223,170,284,319,162,43,65,135,196
Marion,112,98,118,130,167,48,45,57,50,107
Martin,116,95,159,288,105,1,1,4,2,0
Mason,45,32,23,13,33,16,6,6,3,11
Matagorda,521,520,482,522,754,104,62,63,52,83
Maverick,"1,038","1,518",698,486,657,0,0,11,28,31
Medina,509,600,739,528,554,404,461,266,156,254
Menard,29,50,54,38,72,12,11,8,6,16
Midland,"4,505","4,070","2,723","2,622","3,853","1,231",954,435,453,575
Milam,470,497,541,468,563,78,26,39,41,61
Mills,62,67,39,45,77,14,4,6,7,9
Mitchell,212,218,125,126,144,27,19,13,12,6
Montague,198,205,249,225,293,20,23,19,22,48
Montgomery,"9,854","10,113","8,990","7,792","10,307","4,866","3,940","3,274","3,270","4,074"
Moore,817,893,356,428,763,406,382,328,117,272
Morris,129,184,232,219,178,25,14,21,22,54
Motley,0,2,0,3,3,3,3,1,0,5
Nacogdoches,"2,291","3,319","1,772","1,788","2,245",625,838,583,522,646
Navarro,"1,294","1,165",848,804,"2,203",488,430,304,386,453
Newton,80,87,127,53,134,16,18,32,14,35
Nolan,347,247,400,527,353,111,68,54,133,190
Nueces,"4,994","5,303","4,841","4,704","8,439","4,687","4,025","2,706","2,200","3,275"
Ochiltree,95,141,156,162,173,51,52,35,51,48
Oldham,122,155,147,109,129,9,29,21,16,11
Orange,673,729,746,684,"1,085",298,267,400,320,457
Palo Pinto,379,339,322,398,456,56,60,53,60,52
Panola,515,340,305,180,436,150,99,80,114,128
Parker,"1,623","1,533","1,369","1,449","2,308",295,272,270,302,399
Parmer,130,148,153,157,238,1,1,3,3,13
Pecos,570,381,474,418,650,47,49,49,29,40
Polk,"1,134",997,760,"1,385","1,201",384,387,300,258,332
Potter,"1,119","1,399","1,026",877,"1,817",857,"1,114",746,404,658
Presidio,34,56,0,15,21,15,5,4,4,6
Rains,126,94,114,107,256,21,15,6,5,8
Randall,"1,137",917,885,"1,076","1,470",562,393,344,352,573
Reagan,63,84,100,93,225,23,35,10,8,32
Real,65,34,35,70,62,25,0,7,19,16
Red River,274,121,121,116,176,45,56,65,38,46
Reeves,444,285,452,449,391,42,35,15,6,15
Refugio,541,556,438,520,291,204,247,0,97,89
Roberts,78,55,43,16,33,1,1, ,1,1
Robertson,381,344,260,277,473,31,50,13,12,12
Rockwall,"2,352","2,010","2,301","1,443","2,714",953,882,996,727,"1,255"
Runnels,94,227,225,166,319,49,26,21,18,87
Rusk,718,644,706,488,667,110,128,89,74,69
Sabine,343,247,216,152,268,37,73,53,11,29
San Augustine,13,139,53,91,144,2,6,14,0,0
San Jacinto,279,417,316,261,411,9,8,8,13,24
San Patricio,"1,684","1,905","2,248","1,319","1,684",0,0,476,419,459
San Saba,55,52,64,55,83,9,3,0,4,9
Schleicher,52,29,50,49,57,18,0,2,2,3
Scurry,233,281,329,220,271,70,64,64,3,0
Shackelford,82,70,70,56,80,42,26,12,23,18
Shelby,307,385,517,276,400,9,6,18,9,24
Sherman,35,63,65,80,85,25,27,53,45,74
Smith,"3,319","3,424","2,561","2,906","4,094",350,315,321,357,503
Somervell,153,119,130,162,181,0,9,5,13,24
Starr,783,"1,020",19,393,705,413,486,134,161,280
Stephens,186,321,384,252,178,104,225,122,65,53
Sterling,17,14,58,35,39,18,9,15,6,17
Stonewall,7,1,14,14,9,1,0,2,12,1
Sutton,227,232,181,295,250,15,14,8,19,33
Swisher,59,107,25,45,133,32,24,2,11,40
Tarrant,"29,195","31,855","23,866","21,168","31,452","17,544","16,221","10,796","11,788","15,333"
Taylor,"1,986","1,860","1,963","2,700","2,893","1,394","1,302","1,304","1,614","2,082"
Terrell,0,0,6,10,52,0, ,0,1,11
Terry,242,246,207,207,249,124,137,127,123,137
Throckmorton,10,11,0,1,0,10,4,0,0,0
Titus,336,302,585,487,762,86,61,96,78,163
Tom Green,"2,847","2,752","2,321","2,266","2,686","1,149",966,721,589,767
Travis,"18,033","20,897","20,086","16,977","27,875","11,826","10,265","8,903","11,115","14,950"
Trinity,185,90,54,127,190,18,29,26,48,103
Tyler,103,108,251,215,290,46,55,41,59,82
Upshur,358,389,494,376,531,57,78,64,53,121
Upton,51,96,66,77,69,28,38,27,27,18
Uvalde,268,222,45,346,458,24,6,22,20,21
Val Verde,583,440,561,546,713,395,192,259,352,431
Van Zandt,464,618,773,399,"1,451",115,146,171,83,175
Victoria,"1,684","1,619","1,196","1,621","1,873",849,886,669,904,905
Walker,735,939,657,843,695,556,734,514,531,542
Waller,784,580,537,540,663,276,251,141,201,248
Ward,462,551,417,381,393,26,49,47,37,25
Washington,834,803,787,708,749,0,354,338,353,411
Webb,"1,944","1,524","1,016","1,257","1,391","1,720","1,477","1,238","1,315","1,739"
Wharton,"1,217","1,152",730,788,"1,088",248,201,127,135,183
Wheeler,337,159,86,116,202,102,102,37,33,55
Wichita,"1,435","1,632","1,194","1,479","2,521","2,126","1,568",954,"1,152","1,666"
Wilbarger,308,397,318,263,248,15,22,18,8,19
Willacy,230,221,144,168,357,127,164,25,231,353
Williamson,"6,654","4,754","3,065","4,574","7,095","3,412","2,363","1,515","2,647","4,013"
Wilson,709,650,"1,003",890,"1,170",322,241,194,208,317
Winkler,137,124,98,120,299,13,15,6,13,29
Wise,"1,524","1,247","1,465","1,175","1,448",306,244,276,256,382
Wood,420,394,354,359,600,106,81,69,85,186
Yoakum,44,86,66,62,73,14,14,15,8,25
Young,448,509,407,464,586,123,176,181,207,257
Zapata,214,173,183,130,155,81,104,77,62,93
Zavala,100,88,292,232,206,4,2,7,2,19
