county,disp_2022,disp_2021,disp_2020,disp_2019,disp_2018,paid_2022,paid_2021,paid_2020,paid_2019,paid_2018,paidrate_2022,paidrate_all
Bandera,309,250,244,260,216,246,260,201,193,170,79.6%,83.7%
Collingsworth,32,27,13,23,34,34,20,19,12,23,106.3%,83.7%
Callahan,98,82,107,133,78,62,112,75,96,73,63.3%,83.9%
Tyler,203,205,115,287,255,146,169,89,294,196,71.9%,83.9%
Lee,296,327,244,387,312,211,281,224,318,282,71.3%,84.0%
San Augustine,211,126,103,65,6,141,110,63,61,56,66.8%,84.3%
Kinney,0,20,39,20,49,18,19,21,22,28,#DIV/0!,84.4%
Bosque,73,111,121,151,163,69,86,101,113,154,94.5%,84.5%
Zavala,0,7,26,62,73,19,13,11,56,43,#DIV/0!,84.5%
Aransas,353,278,188,295,243,316,182,245,186,218,89.5%,84.5%
Goliad,141,75,55,58,95,116,67,43,48,85,82.3%,84.7%
Moore,388,194,115,185,153,359,303,70,79,71,92.5%,85.2%
Upshur,94,349,258,393,410,231,231,189,302,333,245.7%,85.5%
Anderson,720,556,440,577,583,593,368,436,494,571,82.4%,85.6%
Atascosa,503,311,360,555,543,467,256,292,465,471,92.8%,85.9%
Frio,163,139,104,212,193,184,103,90,189,133,112.9%,86.2%
Bowie,"1,509","1,593","1,588","1,771","1,246","1,288","1,532","1,200","1,385","1,248",85.4%,86.3%
Hutchinson,193,186,154,160,205,304,139,141,137,57,157.5%,86.6%
Harris,"53,773","37,879","26,661","35,269","35,771","37,967","23,848","32,267","35,976","34,327",70.6%,86.8%
Childress,155,71,150,183,215,108,81,118,216,149,69.7%,86.8%
Comal,735,503,505,711,700,537,446,544,644,593,73.1%,87.6%
Yoakum,56,28,38,77,44,28,19,32,73,61,50.0%,87.7%
Burleson,243,193,199,268,544,258,201,153,239,425,106.2%,88.2%
Hale,348,307,222,304,268,267,249,268,256,239,76.7%,88.3%
Hemphill,20,14,19,27,41,12,15,15,26,40,60.0%,89.3%
Presidio,22,13,26,36,21,26,10,14,36,20,118.2%,89.8%
Kaufman,"1,083","1,358","1,273","1,219","1,286","1,217","1,032","1,111","1,031","1,197",112.4%,89.9%
Baylor,37,33,39,38,32,18,25,38,40,41,48.6%,90.5%
Bexar,"16,812","14,550","12,894","19,101","18,507","14,582","13,135","12,999","17,830","15,577",86.7%,90.5%
Tom Green,"1,456","1,097","1,036","1,434","1,546","1,378",955,969,"1,279","1,369",94.6%,90.6%
Wilbarger,165,130,136,157,145,148,117,139,137,132,89.7%,91.8%
Cochran,20,27,32,51,46,19,26,20,61,36,95.0%,92.0%
Taylor,"1,702","1,712","2,031","2,168","1,796","1,675","1,413","1,819","2,007","1,805",98.4%,92.7%
Victoria,"1,100",873,737,"1,075",785,"1,023",887,806,887,642,93.0%,92.9%
Howard,212,256,242,323,300,210,237,243,285,264,99.1%,92.9%
Potter,"1,843","1,814","1,363","2,162","1,981","1,529","1,627","1,506","1,986","1,891",83.0%,93.2%
El Paso,"5,475","7,299","5,594","7,595","7,189","5,948","5,361","5,318","6,969","7,497",108.6%,93.8%
Scurry,94,133,154,98,143,146,160,108,66,104,155.3%,93.9%
Upton,46,42,43,42,40,66,40,42,25,27,143.5%,93.9%
San Patricio,740,588,517,608,714,"1,208",383,399,452,544,163.2%,94.3%
Liberty,818,488,551,736,805,795,542,561,615,702,97.2%,94.6%
McLennan,"2,491","1,962","2,229","2,680","2,585","2,414","2,166","2,111","2,438","2,196",96.9%,94.8%
Guadalupe,575,533,494,636,666,551,498,523,573,621,95.8%,95.2%
Coryell,916,734,542,853,822,946,724,614,789,617,103.3%,95.4%
Gray,251,245,276,334,313,234,242,292,315,279,93.2%,96.0%
Lamb,150,133,100,160,207,128,115,133,147,197,85.3%,96.0%
Galveston,"4,196","2,639","2,606","3,576","3,592","3,592","2,336","2,562","4,354","3,102",85.6%,96.0%
Falls,246,184,143,131,128,188,193,168,134,126,76.4%,97.2%
Wichita,"2,303","1,345","1,372","2,003","1,806","2,229","1,308","1,361","1,835","1,978",96.8%,98.7%
Hall,65,53,66,93,89,45,47,61,99,111,69.2%,99.2%
Brewster,43,32,29,88,103,27,72,39,72,84,62.8%,99.7%
Matagorda,439,432,307,528,425,452,355,364,529,426,103.0%,99.8%
Dickens,8,8,9,13,11,5,8,6,18,12,62.5%,100.0%
Bell,"1,668","1,190","1,451","1,765","1,610","1,628","1,301","1,528","1,642","1,638",97.6%,100.7%
Burnet,582,549,397,472,558,510,594,489,504,487,87.6%,101.0%
Sterling,14,13,27,13,17,31,14,19,9,13,221.4%,102.4%
Zapata,28,32,24,48,34,26,29,34,37,46,92.9%,103.6%
Hardeman,56,14,34,52,30,40,10,36,61,46,71.4%,103.8%
Calhoun,207,163,136,200,196,154,151,169,217,248,74.4%,104.1%
Henderson,"1,094","1,094",935,"1,089","1,061","1,352","1,292",945,875,"1,092",123.6%,105.4%
Travis,"7,799","6,991","9,437","13,789","12,781","10,272","9,878","10,401","11,736","11,246",131.7%,105.4%
Jim Hogg,30,30,4,8,45,88,16,5,13,5,293.3%,108.5%
Bee,175,230,169,245,297,292,230,185,256,269,166.9%,110.4%
Fannin,579,589,477,436,354,560,794,508,422,426,96.7%,111.3%
Wheeler,126,85,48,110,156,168,117,43,116,141,133.3%,111.4%
Angelina,596,671,505,751,675,733,650,567,878,749,123.0%,111.9%
Medina,550,530,398,478,408,765,475,337,604,483,139.1%,112.7%
Dallam,88,57,50,45,55,51,95,53,69,65,58.0%,112.9%
Llano,260,203,130,216,217,174,296,104,184,451,66.9%,117.8%
Hunt,581,470,488,669,731,652,598,674,848,869,112.2%,123.9%
Webb,"1,551","1,741","1,101","1,462","1,424","1,971","2,238","1,436","1,694","1,730",127.1%,124.6%
Winkler,73,44,47,79,51,75,65,57,104,70,102.7%,126.2%
Houston,273,223,263,364,298,295,273,320,525,405,108.1%,127.9%
Washington,362,334,293,339,425,311,502,444,495,562,85.9%,132.0%
Borden,1,3,1,0,3,2,5,1,0,3,200.0%,137.5%
Lubbock,421,"2,233","2,986","3,513","3,711","3,377","3,574","4,037","3,921","4,435",802.1%,150.4%
McMullen,19,6,3,27,19,23,15,14,37,23,121.1%,151.4%
Jasper,243,207,139,317,307,384,315,277,408,462,158.0%,152.2%
Lipscomb,4,2,3,17,11,16,13,6,15,12,400.0%,167.6%
Bastrop,348,255,255,335,308,707,472,512,542,506,203.2%,182.5%
Motley,1,0,8,5,6,19,3,6,5,5,1900.0%,190.0%
Sherman,18,45,30,32,29,66,51,46,60,92,366.7%,204.5%
Throckmorton,15,2,3,3,0,14,12,16,21,11,93.3%,321.7%
Karnes,71,31,7,1,29,120,69,81,92,101,169.0%,333.1%
Foard,5,1,2,0,1,9,2,6,1,16,180.0%,377.8%
Trinity,49,2,21,25,32,127,100,89,162,125,259.2%,467.4%
Castro,0,0,0,0,0,51,22,25,60,74,#DIV/0!,#DIV/0!
