county,disp_2022,disp_2021,disp_2020,disp_2019,disp_2018,paid_2022,paid_2021,paid_2020,paid_2019,paid_2018
Hidalgo,"11,381","8,672","10,507","16,141","15,312","6,394","5,408","7,129","10,830","10,254"
Hill,637,602,753,971,939,294,229,343,394,383
Hockley,286,248,320,448,505,137,158,131,219,190
Hood,747,803,632,915,989,321,380,284,471,537
Hopkins,487,468,672,768,808,191,68,67,80,61
Houston,373,288,267,313,368,234,213,209,215,299
Howard,937,623,649,624,875,180,138,98,147,244
Hudspeth,2,53,44,74,75,7,2,8,33,29
Hunt,"1,279","1,170",713,"1,637","1,714",855,694,460,776,823
Hutchinson,360,375,249,424,337,180,112,64,69,51
Irion,7,7,25,18,48,2,0,0,0,0
Jack,134,142,142,105,138,51,52,48,28,36
Jackson,435,435,442,444,479,80,54,45,72,75
Jasper,448,418,319,585,514,200,163,135,214,207
Jeff Davis,22,4,23,41,40,4,0,5,5,9
Jefferson,"3,662","3,642","2,852","4,706","4,236","1,873","1,531",602,574,395
Jim Hogg,20,7,5,62,42,101,5,9,41,10
Jim Wells,331,275,409,535,508,268,88,161,133,10
Johnson,"1,861","1,667","1,821","2,248","2,293",737,589,547,894,"1,098"
Jones,205,162,239,273,240,96,94,129,153,177
Karnes,373,240,296,375,235,258,105,123,169,133
Kaufman,"1,440","1,316","1,288","2,107","2,036",855,826,776,"1,065",996
Kendall,718,679,635,"1,059",962,308,234,233,278,117
Kenedy,93,30,86,161,34,2,4,12,5,7
Kent,0,7,3,3,13,0,0,0,0, 
Kerr,986,846,818,"1,563","1,233",566,209,592,650,645
Kimble,95,84,98,186,94,16,0,6,8,9
King,0,0,3,3,103,0, , , , 
Kinney,965,31,36,49,94,0,1,0,1,13
Kleberg,796,790,650,967,894,621,565,472,721,526
Knox,36,29,30,46,52,0,19,3,8,14
Lamar,618,651,513,959,"1,253",564,548,389,336,441
Lamb,134,62,110,102,109,43,38,48,57,60
Lampasas,268,253,302,370,385,71,54,52,65,62
La Salle,306,214,140,451,321,36,24,37,87,82
Lavaca,164,141,179,279,273,10,89,80,147,120
Lee,377,440,478,587,480,128,144,144,192,140
Leon,98,104,174,279,278,30,43,34,77,96
Liberty,"1,191","1,082","1,197","1,655","1,647",692,643,388,350,482
Limestone,282,218,251,376,433,84,73,88,136,183
Lipscomb,22,0,14,13,22,7,0,7,7,8
Live Oak,270,262,218,331,233,85,67,84,148,165
Llano,352,409,287,463,374,117,76,47,53,56
Loving,67,85,65,19,23,2,1,2,0,0
Lubbock,355,"1,701","2,492","2,950","3,478","2,587","3,002","3,480","3,776","4,217"
Lynn,124,33,62,140,131,33,22,15,21,23
