county,pop_2023,pop_2022,pop_2021,pop_2020,pop_2019,felExp_2023,felExp_2022,felExp_2021,felExp_2020,felExp_2019,misdExp_2023,misdExp_2022,misdExp_2021,misdExp_2020,misdExp_2019,totalExp_2023,totalExp_2022,totalExp_2021,totalExp_2020,totalExp_2019
Hudspeth,"3,451","3,220","3,683","3,683","3,655","$5,236 ","$2,474 ","$3,567 ","$6,354 ","$10,727 ",$143 ,$0 ,$0 ,$0 ,"$1,400 ","$40,189 ","$40,928 ","$37,123 ","$39,911 ","$36,127 "
Hunt,"110,950","103,845","98,685","98,685","97,442","$936,401 ","$1,042,614 ","$637,470 ","$931,390 ","$998,915 ","$329,457 ","$345,291 ","$292,465 ","$171,883 ","$275,199 ","$1,439,075 ","$1,578,380 ","$1,040,595 ","$1,268,852 ","$1,540,761 "
Hutchinson,"19,989","20,174","20,439","20,439","20,591","$305,249 ","$282,055 ","$134,010 ","$119,760 ","$221,337 ","$43,400 ","$34,350 ","$24,300 ","$13,400 ","$14,300 ","$386,128 ","$345,593 ","$174,538 ","$152,018 ","$251,085 "
Irion,"1,517","1,596","1,584","1,584","1,652","$20,428 ","$7,830 ","$2,612 ","$7,391 ","$3,426 ",$0 ,"$1,500 ",$0 ,$0 ,$0 ,"$25,072 ","$14,312 ","$3,612 ","$8,391 ","$4,426 "
Jack,"8,937","8,905","9,305","9,305","9,229","$72,900 ","$41,220 ","$20,502 ","$43,065 ","$62,564 ","$18,410 ","$14,650 ","$15,080 ","$12,543 ","$6,700 ","$95,978 ","$75,325 ","$38,605 ","$70,075 ","$83,178 "
Jackson,"14,995","15,150","14,256","14,256","15,302","$386,511 ","$234,761 ","$128,047 ","$138,756 ","$124,744 ","$8,495 ","$15,156 ","$10,393 ","$7,876 ","$13,437 ","$485,600 ","$301,047 ","$157,338 ","$173,548 ","$167,094 "
Jasper,"32,395","32,747","35,353","35,353","36,746","$188,812 ","$155,011 ","$123,815 ","$124,507 ","$183,532 ","$58,100 ","$42,000 ","$36,484 ","$24,450 ","$44,380 ","$254,912 ","$206,686 ","$169,749 ","$157,957 ","$252,272 "
Jeff Davis,"1,956","1,972","2,408","2,408","2,481","$2,791 ",$930 ,"$1,936 ",$0 ,"$4,051 ",$0 ,$0 ,$0 ,$263 ,$615 ,"$14,566 ","$11,775 ","$12,995 ","$13,965 ","$17,886 "
Jefferson,"252,538","251,890","250,803","250,803","253,046","$1,762,900 ","$1,450,440 ","$1,221,776 ","$1,356,075 ","$1,395,499 ","$178,313 ","$230,207 ","$163,631 ","$103,838 ","$117,375 ","$2,167,480 ","$1,850,641 ","$1,493,290 ","$1,587,725 ","$1,699,363 "
Jim Hogg,"4,656","4,815","5,079","5,079","5,129","$1,350 ","$1,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$600 ,$800 ,"$48,600 ","$40,345 ","$18,468 ","$33,386 ","$38,594 "
Jim Wells,"39,008","37,520","39,759","39,759","41,518","$67,085 ","$47,550 ","$34,460 ","$48,618 ","$116,295 ","$80,245 ","$102,395 ","$62,565 ","$67,295 ","$54,190 ","$222,596 ","$220,004 ","$121,457 ","$139,108 ","$208,935 "
Johnson,"197,638","191,361","175,987","175,987","173,191","$818,644 ","$787,914 ","$695,333 ","$682,797 ","$757,729 ","$211,090 ","$198,750 ","$160,288 ","$150,750 ","$245,915 ","$1,161,416 ","$1,084,693 ","$916,846 ","$910,202 ","$1,135,207 "
Jones,"20,112","19,826","19,745","19,745","19,704","$150,781 ","$208,114 ","$69,470 ","$60,389 ","$292,099 ","$15,530 ","$11,801 ","$6,683 ","$12,580 ","$12,936 ","$186,427 ","$221,015 ","$79,703 ","$83,244 ","$310,257 "
Karnes,"14,678","14,559","15,778","15,778","15,304","$60,433 ","$21,706 ","$23,877 ","$39,524 ","$70,803 ",$0 ,"$27,100 ","$18,850 ","$50,650 ","$76,425 ","$63,747 ","$122,816 ","$45,641 ","$99,367 ","$158,152 "
Kaufman,"177,704","163,214","140,667","140,667","128,122","$654,271 ","$524,601 ","$332,832 ","$306,679 ","$287,465 ","$199,823 ","$210,767 ","$182,269 ","$201,250 ","$221,210 ","$2,049,862 ","$1,905,598 ","$1,176,637 ","$1,240,586 ","$1,282,136 "
Kendall,"48,178","47,777","47,700","47,700","47,453","$110,370 ","$299,730 ","$375,554 ","$163,086 ","$276,781 ","$36,526 ","$46,601 ","$76,030 ","$80,389 ","$79,905 ","$264,933 ","$523,997 ","$547,277 ","$262,503 ","$373,116 "
Kenedy,365,321,378,378,412,"$63,021 ","$14,291 ","$15,680 ","$14,910 ","$18,076 ","$2,100 ",$900 ,"$1,568 ","$3,353 ","$1,965 ","$66,121 ","$16,191 ","$18,248 ","$19,263 ","$20,041 "
Kent,738,747,754,754,764,"$3,013 ",$900 ,"$1,675 ","$3,470 ","$4,106 ",$200 ,$0 ,$0 ,$0 ,$0 ,"$4,213 ","$1,900 ","$2,675 ","$4,470 ","$5,106 "
Kerr,"54,073","53,894","53,024","53,024","52,575","$84,900 ","$240,576 ","$344,245 ","$353,385 ","$479,080 ","$35,677 ","$43,139 ","$32,557 ","$91,042 ","$184,634 ","$217,460 ","$3,338,461 ","$1,652,793 ","$482,418 ","$733,037 "
