county,pop_2023,felExp_2023,misdExp_2023,totalExp_2023,pop_2022,felExp_2022,misdExp_2022,totalExp_2022,pop_2021,felExp_2021,misdExp_2021,totalExp_2021,pop_2020,felExp_2020,misdExp_2020,totalExp_2020,pop_2019,felExp_2019,misdExp_2019,totalExp_2019
Johnson,"197,638","$818,644","$211,090","$1,161,416","191,361","$787,914","$198,750","$1,084,693","175,987","$695,333","$160,288","$916,846","175,987","$682,797","$150,750","$910,202","173,191","$757,729","$245,915","$1,135,207"
Jones,"20,112","$150,781","$15,530","$186,427","19,826","$208,114","$11,801","$221,015","19,745","$69,470","$6,683","$79,703","19,745","$60,389","$12,580","$83,244","19,704","$292,099","$12,936","$310,257"
Karnes,"14,678","$60,433",$0,"$63,747","14,559","$21,706","$27,100","$122,816","15,778","$23,877","$18,850","$45,641","15,778","$39,524","$50,650","$99,367","15,304","$70,803","$76,425","$158,152"
Kaufman,"177,704","$654,271","$199,823","$2,049,862","163,214","$524,601","$210,767","$1,905,598","140,667","$332,832","$182,269","$1,176,637","140,667","$306,679","$201,250","$1,240,586","128,122","$287,465","$221,210","$1,282,136"
Kendall,"48,178","$110,370","$36,526","$264,933","47,777","$299,730","$46,601","$523,997","47,700","$375,554","$76,030","$547,277","47,700","$163,086","$80,389","$262,503","47,453","$276,781","$79,905","$373,116"
Kenedy,365,"$63,021","$2,100","$66,121",321,"$14,291",$900,"$16,191",378,"$15,680","$1,568","$18,248",378,"$14,910","$3,353","$19,263",412,"$18,076","$1,965","$20,041"
Kent,738,"$3,013",$200,"$4,213",747,$900,$0,"$1,900",754,"$1,675",$0,"$2,675",754,"$3,470",$0,"$4,470",764,"$4,106",$0,"$5,106"
Kerr,"54,073","$84,900","$35,677","$217,460","53,894","$240,576","$43,139","$3,338,461","53,024","$344,245","$32,557","$1,652,793","53,024","$353,385","$91,042","$482,418","52,575","$479,080","$184,634","$733,037"
Kimble,"4,579","$76,309","$3,788","$81,553","4,234","$15,152","$3,906","$22,898","4,581","$26,662","$2,778","$34,630","4,581","$19,920","$1,414","$26,018","4,722","$31,315","$2,106","$39,440"
King,254, , ,"$1,000",256,$0,$0,"$1,000",275, , ,"$1,000",275, , ,"$1,000",254, , ,"$1,000"
Kinney,"3,086","$19,600","$7,976","$30,226","3,130","$15,170",$0,"$16,170","3,594","$7,600",$350,"$10,750","3,594","$10,659",$0,"$12,859","3,711","$10,310",$250,"$16,687"
Kleberg,"30,547","$347,939","$192,300","$548,989","30,792","$332,905","$128,825","$473,880","32,158","$131,753","$95,350","$234,628","32,158","$145,755","$74,950","$233,705","32,580","$206,949","$116,790","$339,239"
Knox,"3,234","$10,539","$1,850","$23,748","3,359","$14,705",$0,"$23,743","3,796","$6,599","$11,000","$18,599","3,796","$17,974",$750,"$19,724","3,393","$9,967","$2,000","$12,967"
Lamar,"50,142","$202,885","$89,250","$376,515","49,788","$207,663","$123,693","$421,298","50,436","$239,443","$119,455","$388,618","50,436","$139,569","$86,536","$338,552","50,279","$293,601","$74,526","$463,518"
Lamb,"12,606","$38,250","$9,175","$60,018","12,747","$65,443","$13,400","$89,196","12,412","$39,767","$8,525","$53,550","12,412","$62,355","$11,125","$79,738","12,696","$56,650","$13,625","$80,957"
Lampasas,"22,950","$103,970","$25,475","$133,995","22,603","$70,949","$22,250","$97,249","21,395","$69,705","$16,300","$98,583","21,395","$76,740","$16,425","$94,655","21,220","$86,762","$20,475","$109,937"
La Salle,"6,575","$66,165","$6,650","$82,721","6,646","$50,643","$14,550","$71,024","7,391","$19,800","$7,900","$33,531","7,391","$19,501","$11,300","$37,032","7,403","$46,338","$26,400","$81,252"
Lavaca,"20,532","$15,600","$2,025","$380,014","20,952","$11,963","$1,950","$231,659","20,511","$11,975","$2,075","$229,544","20,511","$11,096","$1,200","$229,390","20,447","$64,356","$7,310","$292,310"
Lee,"18,138","$183,203","$31,625","$233,856","17,629","$117,614","$31,737","$176,500","17,432","$124,840","$36,304","$174,877","17,432","$122,831","$30,963","$181,820","17,373","$142,460","$33,000","$198,100"
Leon,"16,727","$156,615","$10,050","$187,299","15,707","$113,145","$4,650","$130,696","17,649","$67,791","$8,150","$85,284","17,649","$47,658","$8,983","$70,121","17,453","$77,446","$20,883","$113,815"
Liberty,"103,692","$489,889","$208,975","$767,502","100,883","$410,024","$194,550","$676,256","93,496","$274,003","$155,420","$454,440","93,496","$254,827","$109,795","$391,864","88,248","$379,444","$121,025","$545,490"
Limestone,"21,848","$96,231","$27,744","$218,391","22,148","$154,675","$22,559","$264,616","23,654","$103,584","$22,080","$206,387","23,654","$117,443","$25,168","$247,392","23,725","$162,575","$43,153","$294,712"
Lipscomb,"3,059","$16,084",$0,"$17,678","2,836","$12,519",$750,"$14,269","3,153","$5,204",$0,"$6,204","3,153","$3,058","$2,922","$6,980","3,320","$10,000","$2,800","$15,300"
Live Oak,"11,260","$18,377","$4,035","$172,375","11,115","$24,188",$310,"$103,943","12,208","$14,985",$240,"$94,670","12,208","$5,735",$0,"$85,180","12,042","$16,948","$1,120","$118,805"
Llano,"22,964","$43,994","$1,250","$153,889","21,952","$28,175","$10,200","$86,800","21,890","$131,575","$9,520","$146,495","21,890","$129,245","$6,250","$141,068","21,863","$140,997","$9,830","$164,759"
Loving,52,"$14,540",$0,"$15,540",58,"$12,520","$1,020","$14,540",96,"$11,545",$0,"$12,545",96,"$7,876",$360,"$9,236",103,"$5,248",$0,"$6,248"
Lubbock,"321,312","$3,751,478","$1,088,408","$6,135,374","318,368","$3,209,062","$915,793","$5,349,530","309,880","$2,303,591","$853,438","$4,547,471","309,880","$2,618,072","$867,658","$4,800,467","307,870","$2,231,097","$748,876","$4,262,187"
Lynn,"5,670","$35,325","$13,500","$54,275","5,630","$17,721","$10,050","$32,710","6,243","$10,773","$4,400","$19,591","6,243","$6,804","$3,000","$14,450","5,942","$7,778","$4,200","$17,379"
McCulloch,"7,494","$86,059","$13,305","$103,205","7,446","$60,528","$8,428","$72,055","8,313","$43,549","$4,989","$53,392","8,313","$30,752","$5,899","$39,080","8,311","$51,961","$8,616","$65,895"
McLennan,"266,612","$2,707,541","$995,071","$4,154,398","261,318","$2,324,682","$991,100","$3,680,493","255,372","$1,726,190","$763,476","$2,795,863","255,372","$1,688,285","$685,293","$2,577,049","255,816","$2,300,952","$1,085,791","$3,542,531"
McMullen,563,$0,$0,"$47,910",597,"$8,510",$0,"$26,343",748,"$2,195",$0,"$11,964",748,"$6,601",$0,"$16,369",740,"$3,346",$0,"$16,273"
Madison,"13,766","$151,430","$54,750","$226,126","13,591","$68,799","$11,200","$94,829","14,088","$43,983","$16,630","$75,443","14,088","$82,572","$40,807","$138,509","14,468","$75,022","$57,250","$151,981"
Marion,"9,183","$57,056","$26,310","$92,115","9,685","$51,311","$19,265","$89,313","9,662","$48,906","$31,740","$84,195","9,662","$49,092","$27,013","$86,026","9,860","$37,844","$36,349","$95,387"
Martin,"5,125","$18,600",$800,"$20,644","5,281","$17,700",$294,"$18,994","5,739","$10,150","$1,420","$13,770","5,739","$14,700",$900,"$17,300","5,875","$10,450",$0,"$11,695"
Mason,"4,028","$17,851","$5,530","$24,637","3,881","$8,092","$2,503","$13,411","4,318","$12,856","$1,509","$15,739","4,318","$4,538","$1,178","$8,480","4,340","$16,711","$4,772","$22,524"
Matagorda,"35,971","$299,951","$20,400","$347,551","36,540","$194,704","$13,600","$239,836","36,158","$152,595","$11,150","$193,570","36,158","$131,020","$11,225","$225,388","36,488","$160,770","$17,500","$234,522"
Maverick,"57,961","$84,248",$0,"$84,898","57,355","$17,977",$0,"$18,177","58,116","$10,829","$1,650","$13,254","58,116","$14,535",$750,"$18,835","57,272","$37,906","$7,975","$50,291"
Medina,"52,336","$43,734","$3,305","$2,948,071","51,529","$101,098","$11,633","$359,839","54,612","$206,351","$34,098","$385,505","54,612","$260,063","$29,106","$323,091","52,191","$394,536","$44,695","$467,004"
Menard,"1,971","$7,836","$6,254","$16,236","1,990","$14,332","$2,230","$17,824","2,124","$3,307","$2,223","$6,529","2,124","$6,293","$2,256","$15,886","2,134","$10,353","$7,753","$20,105"
Midland,"173,643","$1,708,988","$532,325","$2,535,647","168,242","$1,581,923","$392,125","$2,219,380","179,232","$1,456,349","$167,840","$1,788,156","179,232","$1,183,037","$148,030","$1,540,500","175,630","$1,312,004","$212,100","$1,781,120"
Milam,"25,752","$175,418","$19,288","$216,972","25,107","$120,326","$6,104","$147,012","25,157","$105,442","$11,162","$138,685","25,157","$93,557","$11,282","$130,876","25,288","$183,761","$18,196","$230,064"
Mills,"4,546","$41,714","$4,755","$59,751","4,452","$28,391","$1,850","$51,711","4,875","$18,730","$1,700","$31,745","4,875","$30,286","$3,500","$47,436","4,940","$26,960","$4,090","$50,334"
Mitchell,"8,882","$98,167","$8,272","$109,925","8,986","$73,955","$7,200","$85,497","8,685","$74,237","$5,084","$83,359","8,685","$59,661","$4,800","$66,654","8,135","$53,067","$2,300","$60,929"
Montague,"21,370","$63,582","$6,865","$88,530","20,130","$87,120","$7,860","$115,213","19,712","$91,872","$6,810","$115,915","19,712","$59,018","$6,400","$81,901","19,631","$109,693","$11,700","$146,942"
Montgomery,"690,414","$4,167,059","$1,292,528","$5,838,533","667,076","$3,887,351","$1,009,958","$5,623,141","609,172","$3,660,357","$853,204","$5,201,620","609,172","$3,947,390","$894,243","$5,601,582","610,513","$4,401,682","$1,063,062","$6,168,323"
Moore,"21,090","$93,028","$268,949","$390,116","20,970","$148,185","$177,232","$344,533","20,902","$143,720","$153,924","$322,890","20,902","$109,735","$168,642","$309,012","20,615","$68,858","$210,553","$311,658"
Morris,"12,049","$77,038","$26,563","$103,600","12,059","$89,214","$9,669","$101,467","12,468","$75,903","$13,034","$96,362","12,468","$73,108","$16,097","$99,940","12,258","$58,529","$30,738","$97,608"
Motley,"1,024","$3,000",$500,"$5,800","1,048","$5,023",$500,"$6,523","1,196","$2,240",$100,"$3,340","1,196","$5,690",$0,"$6,690","1,225","$3,184",$500,"$4,684"
Nacogdoches,"65,318","$312,577","$100,554","$474,223","64,309","$293,901","$129,086","$465,479","64,850","$151,934","$72,243","$240,921","64,850","$145,101","$78,686","$271,237","65,483","$228,046","$95,162","$357,996"
Navarro,"55,334","$1,050,726","$122,425","$1,362,274","53,839","$548,430","$79,133","$692,632","52,973","$408,416","$46,732","$496,476","52,973","$570,944","$71,230","$687,369","50,263","$645,314","$81,112","$784,805"
Newton,"11,836","$38,270","$6,475","$48,045","12,367","$37,550","$4,825","$42,825","13,103","$57,949","$7,325","$65,274","13,103","$40,449","$3,525","$43,974","13,692","$95,149","$8,517","$113,816"
Nolan,"14,576","$367,557","$38,545","$429,676","14,417","$323,033","$25,800","$351,408","14,150","$230,134","$23,678","$254,792","14,150","$180,477","$44,707","$229,237","14,551","$228,579","$59,994","$306,038"
Nueces,"349,590","$2,759,904","$747,311","$5,046,145","350,472","$1,937,880","$827,392","$2,880,380","363,776","$1,195,786","$534,170","$1,889,963","363,776","$1,360,015","$440,479","$1,967,339","361,387","$2,521,513","$695,319","$3,491,498"
Ochiltree,"9,355","$76,155","$12,400","$97,789","9,758","$73,040","$13,250","$100,253","10,246","$67,495","$8,840","$81,187","10,246","$42,594","$12,650","$60,606","10,012","$78,655","$12,350","$96,297"
Oldham,"1,744","$24,100","$3,000","$28,100","1,738","$10,800","$12,239","$24,039","2,131","$14,590","$8,094","$24,634","2,131","$23,700","$6,950","$31,650","2,100","$50,870","$5,650","$57,520"
Orange,"84,869","$246,423","$74,505","$366,058","84,111","$359,564","$88,659","$497,054","82,168","$249,317","$100,107","$395,883","82,168","$226,024","$91,898","$361,908","84,866","$242,550","$114,156","$430,309"
Palo Pinto,"29,113","$187,500","$12,600","$215,284","28,498","$285,154","$13,500","$305,399","29,069","$52,017","$11,925","$75,105","29,069","$126,705","$13,500","$155,376","28,865","$189,185","$11,500","$244,889"
Panola,"22,813","$395,365","$64,833","$469,054","22,540","$264,939","$37,882","$315,052","24,611","$172,485","$29,294","$206,729","24,611","$225,413","$45,772","$278,585","24,573","$168,254","$54,008","$226,763"
Parker,"171,225","$694,471","$157,068","$988,750","158,990","$747,922","$123,429","$974,394","143,504","$541,010","$110,263","$732,169","143,504","$600,796","$125,046","$851,322","138,007","$822,577","$184,178","$1,119,656"
Parmer,"9,434","$31,472",$398,"$33,842","9,703","$38,815",$488,"$41,275","9,325","$16,060",$806,"$20,713","9,325","$22,212",$684,"$25,261","9,872","$41,240","$3,206","$47,935"
Pecos,"14,530","$257,256","$31,337","$307,527","15,115","$206,211","$21,217","$250,952","15,033","$134,709","$24,930","$178,151","15,033","$101,090","$17,068","$153,229","14,870","$124,841","$16,672","$162,551"
Polk,"53,837","$498,034","$157,411","$725,296","52,947","$514,501","$157,659","$723,297","50,717","$304,062","$116,114","$472,472","50,717","$283,340","$97,274","$429,994","49,856","$348,665","$139,476","$541,698"
Potter,"115,903","$1,164,019","$395,747","$3,825,898","115,027","$1,328,594","$531,277","$2,523,643","115,471","$1,186,408","$354,158","$1,699,874","115,471","$1,005,444","$180,839","$1,377,535","116,744","$1,347,325","$281,233","$1,903,193"
Presidio,"6,125","$1,471",$0,"$31,649","6,059",$266,$0,"$31,296","6,302",$0,$0,"$26,764","6,302","$4,844",$0,"$33,163","7,014","$3,245",$376,"$26,439"
Rains,"12,660","$18,910","$6,200","$36,932","12,446","$34,930","$3,900","$50,652","12,493","$32,054","$1,800","$45,326","12,493","$15,150","$1,500","$28,772","12,641","$34,300","$6,650","$56,692"
Randall,"147,367","$1,048,554","$297,316","$1,501,607","145,018","$710,560","$212,996","$1,116,135","138,549","$573,357","$167,891","$936,047","138,549","$572,874","$170,534","$968,503","142,446","$765,152","$294,358","$1,267,918"
Reagan,"3,097","$40,562","$16,974","$65,247","3,355","$63,608","$17,868","$82,975","3,895","$38,304","$5,328","$45,132","3,895","$34,228","$4,019","$41,727","3,756","$43,328","$19,650","$64,478"
Real,"2,940","$24,675","$9,425","$36,152","2,729","$15,925",$0,"$20,652","3,464","$11,250","$1,475","$14,777","3,464","$8,875","$3,375","$14,302","3,600","$10,345","$2,900","$15,955"
Red River,"11,472","$65,224","$8,213","$108,253","11,627","$109,220","$7,888","$137,442","11,479","$65,864","$11,475","$98,992","11,479","$72,509","$9,728","$99,598","12,071","$90,085","$13,181","$126,864"
Reeves,"13,876","$153,947","$8,133","$166,568","14,898","$138,459","$8,168","$159,105","16,400","$118,035","$2,620","$126,073","16,400","$56,637","$1,736","$64,631","15,853","$113,827","$5,741","$127,056"
Refugio,"6,817","$60,966","$15,305","$341,676","6,762","$43,880",$575,"$104,445","6,844","$22,200",$0,"$83,912","6,844","$6,677","$1,000","$71,387","6,817","$28,059","$1,203","$107,184"
Roberts,813,$0,$250,"$1,250",813,"$3,505",$500,"$5,005",832, , ,"$1,000",832,$0,$500,"$1,500",872,$0,$500,"$1,500"
Robertson,"17,051","$235,696","$11,575","$261,564","16,819","$185,075","$13,213","$206,594","17,613","$194,584","$8,045","$213,932","17,613","$118,224","$9,794","$135,317","17,937","$231,347","$9,675","$264,593"
Rockwall,"123,286","$568,445","$304,806","$940,837","120,782","$465,274","$252,683","$758,888","105,969","$423,355","$281,967","$754,216","105,969","$382,642","$299,572","$702,118","97,807","$525,684","$349,290","$919,852"
Runnels,"9,885","$56,262","$2,200","$91,517","9,938","$104,691","$7,800","$148,387","10,218","$28,975","$5,600","$37,345","10,218","$68,694","$4,374","$99,724","9,693","$140,153","$19,369","$164,163"
Rusk,"53,476","$171,943","$46,160","$231,961","52,539","$165,580","$52,280","$222,519","54,764","$88,923","$33,087","$134,863","54,764","$79,031","$25,981","$134,596","53,959","$135,604","$25,559","$175,668"
Sabine,"9,913","$44,785","$9,400","$63,452","9,847","$72,188","$15,929","$97,184","10,859","$32,500","$10,000","$52,117","10,859","$22,775","$3,625","$34,567","11,138","$44,800","$7,750","$64,267"
San Augustine,"7,979","$65,060",$500,"$65,560","7,909","$67,070","$1,700","$75,311","8,409","$41,443","$2,475","$46,668","8,409","$30,060",$0,"$31,860","8,656","$36,968",$0,"$38,768"
San Jacinto,"28,835","$140,878","$3,600","$147,228","27,371","$214,653","$2,875","$223,479","29,652","$96,582","$2,600","$103,095","29,652","$128,411","$7,562","$142,366","29,507","$134,811","$9,095","$148,656"
San Patricio,"69,283","$748,210",$0,"$805,332","69,282","$780,951",$0,"$816,400","67,033","$329,011","$182,518","$527,585","67,033","$250,519","$149,094","$432,523","65,960","$289,329","$179,299","$498,045"
San Saba,"5,956","$27,781","$1,400","$29,881","5,676","$22,770","$1,403","$47,679","6,223","$28,783",$0,"$40,536","6,223","$8,085","$1,020","$21,833","6,224","$16,412","$1,825","$33,465"
Schleicher,"2,302","$10,168","$2,025","$17,533","2,429","$17,401",$0,"$24,484","2,727","$21,517","$2,286","$28,803","2,727","$10,450",$750,"$12,950","3,099","$13,350","$4,348","$20,448"
Scurry,"17,048","$116,475","$50,000","$179,112","16,526","$119,150","$50,600","$179,387","16,556","$114,525","$24,250","$149,187","16,556","$75,100","$1,225","$85,387","17,129","$36,400",$0,"$51,816"
Shackelford,"3,259","$23,415","$4,648","$37,012","3,051","$9,800","$3,600","$14,400","3,415","$10,640",$785,"$13,025","3,415","$2,650","$1,325","$6,575","3,263","$7,360","$1,425","$9,785"
Shelby,"24,012","$66,769","$4,050","$88,106","23,878","$92,590","$2,700","$97,090","24,054","$76,988","$12,636","$92,530","24,054","$123,333","$4,050","$131,401","24,624","$336,700","$10,100","$349,050"
Sherman,"2,814","$18,047","$8,223","$27,270","2,762","$20,557","$6,992","$30,048","3,072","$12,237","$12,736","$25,973","3,072","$15,688","$12,487","$29,674","3,116","$12,908","$13,985","$28,143"
Smith,"245,426","$1,454,399","$139,094","$2,048,393","237,813","$1,599,947","$75,869","$2,064,341","232,675","$1,503,363","$86,025","$1,871,321","232,675","$1,238,617","$85,903","$1,720,284","230,086","$1,220,367","$112,770","$1,944,106"
Somervell,"9,951","$40,187",$0,"$41,791","9,444","$4,050","$28,685","$34,339","9,605","$18,088","$1,750","$21,442","9,605","$45,062","$3,500","$50,166","9,604","$26,974","$6,000","$37,676"
Starr,"65,952","$35,359","$4,050","$1,053,900","65,248","$31,920","$1,300","$1,048,461","63,688","$3,500",$0,"$1,005,991","63,688","$5,045",$930,"$1,008,636","63,406","$29,198","$1,000","$1,013,598"
Stephens,"9,255","$40,235","$31,625","$76,927","9,175","$56,493","$48,600","$117,273","9,506","$48,554","$25,575","$79,142","9,506","$57,333","$45,405","$134,765","9,703","$53,675","$13,741","$77,543"
Sterling,"1,419","$27,208",$0,"$33,386","1,396","$32,446","$3,600","$42,035","1,239","$25,905","$6,000","$32,905","1,239","$19,633","$3,822","$25,332","1,294","$11,803","$6,003","$18,805"
Stonewall,"1,167","$6,296",$450,"$7,746","1,203","$7,059",$0,"$8,059","1,380","$5,100","$1,000","$7,100","1,380","$6,095","$2,400","$9,495","1,409","$3,494",$100,"$8,271"
Sutton,"3,206","$26,570","$11,901","$42,461","3,270","$46,591","$8,603","$58,934","3,619","$22,457","$4,660","$30,856","3,619","$17,612","$11,382","$32,733","3,745","$22,703","$14,218","$41,695"
Swisher,"6,801","$42,744","$8,175","$60,981","6,868","$38,522","$4,768","$50,438","7,435","$16,170",$750,"$22,931","7,435","$28,234","$1,633","$36,277","7,421","$19,825","$8,072","$36,102"
Tarrant,"2,167,129","$19,126,303","$5,221,548","$26,901,754","2,122,081","$15,925,152","$4,719,223","$22,347,978","2,063,496","$11,733,268","$2,853,066","$15,951,308","2,063,496","$13,287,875","$3,146,468","$18,321,352","2,064,380","$15,304,529","$4,202,275","$21,602,871"
Taylor,"145,709","$1,617,826","$260,130","$2,444,537","142,918","$1,663,358","$234,675","$2,148,542","139,083","$1,105,185","$270,200","$1,604,928","139,083","$1,284,502","$289,310","$1,830,365","138,849","$1,335,719","$267,000","$1,900,850"
Terrell,691,"$14,040",$0,"$15,040",708, , ,"$1,000",776,"$1,724",$0,"$2,724",776,$500,$500,"$2,000",843,"$6,607","$5,424","$13,031"
Terry,"11,484","$90,443","$25,714","$127,216","11,615","$93,941","$27,339","$129,150","12,538","$70,771","$24,674","$103,429","12,538","$146,440","$25,907","$180,819","12,478","$83,142","$27,818","$130,493"
Throckmorton,"1,607","$33,830","$2,400","$38,355","1,510","$10,364","$1,200","$12,564","1,407","$6,492",$0,"$7,492","1,407","$14,081",$0,"$15,081","1,525","$13,943",$0,"$14,943"
Titus,"31,267","$176,456","$15,750","$197,406","30,869","$210,999","$11,350","$232,709","33,596","$139,371","$16,919","$158,615","33,596","$53,130","$13,450","$79,892","33,793","$72,037","$29,875","$112,875"
Tom Green,"118,694","$1,355,807","$246,044","$4,086,064","120,429","$1,843,823","$309,539","$3,396,086","117,791","$1,133,157","$232,243","$1,526,791","117,791","$1,552,195","$204,262","$1,916,440","117,278","$1,677,143","$245,974","$2,258,017"
Travis,"1,330,591","$6,841,041","$3,264,400","$21,141,882","1,327,925","$5,839,537","$2,071,252","$16,357,789","1,285,526","$5,046,971","$1,546,344","$13,177,425","1,285,526","$5,726,001","$2,116,802","$12,723,218","1,260,620","$7,026,600","$3,046,820","$14,555,636"
Trinity,"14,212","$92,674","$5,650","$103,439","13,607","$90,993","$9,910","$108,961","14,457","$64,738","$9,510","$83,268","14,457","$41,017","$12,828","$62,698","14,643","$57,895","$29,781","$95,816"
Tyler,"20,061","$107,325","$12,000","$119,325","19,842","$78,281","$10,230","$102,959","22,966","$89,609","$10,000","$114,057","22,966","$55,835","$13,011","$80,794","22,474","$145,355","$13,900","$175,160"
Upshur,"43,809","$138,214","$23,489","$177,340","41,375","$126,320","$25,563","$159,041","41,262","$169,628","$24,500","$213,921","41,262","$91,741","$19,434","$125,645","40,998","$189,573","$43,129","$249,619"
Upton,"3,258","$27,088","$21,732","$52,111","3,255","$66,427","$26,861","$102,814","3,581","$42,791","$20,641","$72,280","3,581","$48,024","$20,150","$70,695","3,743","$48,589","$10,445","$93,521"
Uvalde,"24,675","$309,582","$4,800","$368,796","24,223","$211,828",$800,"$265,635","26,260","$129,034","$4,200","$184,730","26,260","$126,237","$4,950","$182,718","27,691","$137,007","$3,500","$194,858"
Val Verde,"47,564","$249,525","$149,439","$445,451","46,993","$192,648","$58,975","$282,885","50,988","$97,409","$93,950","$233,027","50,988","$81,038","$134,512","$272,682","50,624","$121,640","$130,156","$292,620"
Van Zandt,"63,176","$299,905","$43,020","$422,392","61,725","$298,759","$54,490","$431,678","56,503","$259,291","$59,883","$401,057","56,503","$250,284","$28,200","$356,642","56,596","$402,352","$62,260","$544,046"
Victoria,"91,228","$881,903","$358,211","$1,528,197","90,875","$754,830","$286,067","$1,280,697","90,940","$613,566","$185,232","$998,770","90,940","$421,585","$224,344","$817,283","92,059","$741,093","$209,766","$1,138,737"
Walker,"78,816","$370,118","$264,841","$683,530","77,425","$255,668","$200,472","$497,146","77,300","$115,914","$137,008","$293,978","77,300","$151,260","$156,639","$352,962","75,055","$247,410","$150,498","$447,249"
Waller,"63,291","$552,135","$273,947","$894,635","60,313","$501,472","$277,745","$849,346","55,626","$378,680","$189,133","$682,952","55,626","$428,237","$202,215","$687,225","54,349","$393,676","$203,049","$650,891"
Ward,"11,817","$125,320","$7,854","$144,603","10,769","$124,779","$17,885","$158,192","11,635","$98,105","$16,316","$127,337","11,635","$120,645","$15,584","$152,446","11,372","$121,293","$10,311","$147,839"
Washington,"36,147","$442,902","$56,200","$575,640","35,601","$339,797","$87,290","$450,630","35,612","$286,770","$86,652","$412,637","35,612","$279,855","$72,250","$406,746","35,801","$356,455","$78,810","$459,180"
Webb,"272,271","$1,152,282","$174,800","$4,517,855","269,377","$684,328","$160,625","$3,873,736","280,547","$554,130","$149,375","$4,069,601","280,547","$522,693","$251,050","$4,015,106","281,964","$579,801","$304,025","$3,871,688"
Wharton,"41,700","$861,868","$59,055","$974,700","41,662","$537,231","$41,200","$658,775","41,279","$221,472","$25,885","$294,676","41,279","$228,435","$33,100","$336,662","41,141","$326,368","$43,249","$451,512"
Wheeler,"4,910","$152,156","$36,809","$192,732","4,888","$92,394","$47,449","$144,504","5,168","$70,103","$18,500","$91,089","5,168","$24,620","$16,879","$48,296","5,059","$60,365","$26,810","$90,430"
Wichita,"129,354","$935,725","$167,318","$3,138,230","130,423","$993,780","$212,514","$2,871,378","132,756","$588,577","$163,517","$2,603,932","132,756","$712,897","$213,853","$2,381,709","133,814","$934,931","$244,323","$2,588,164"
Wilbarger,"12,198","$110,447","$2,250","$125,992","12,782","$172,758","$5,040","$192,543","12,393","$87,106","$3,000","$105,351","12,393","$116,909","$1,489","$131,343","12,548","$95,587","$4,272","$120,379"
Willacy,"20,134","$19,046","$7,374","$491,861","19,981","$22,310","$7,288","$253,002","21,502","$12,345","$3,135","$173,391","21,502","$16,970","$4,340","$176,622","21,475","$601,854","$6,384","$810,390"
Williamson,"683,163","$2,312,375","$1,204,608","$3,828,021","663,405","$1,680,499","$728,596","$2,635,844","602,686","$1,125,726","$408,790","$1,734,462","602,686","$1,501,287","$680,784","$2,464,600","571,610","$1,837,873","$1,039,980","$3,267,953"
Wilson,"52,975","$94,853","$23,600","$151,139","51,723","$68,009","$18,000","$253,917","52,839","$68,100","$24,500","$213,654","52,839","$74,282","$59,058","$153,180","51,077","$252,523","$82,750","$362,102"
Winkler,"7,643","$112,709","$7,200","$121,227","7,629","$89,570","$6,800","$98,188","8,145","$58,329","$2,650","$62,297","8,145","$46,125","$5,160","$55,003","7,696","$66,600","$11,075","$90,119"
Wise,"75,010","$519,631","$103,795","$700,465","72,057","$525,830","$92,616","$649,392","70,078","$383,317","$103,786","$522,762","70,078","$367,705","$93,250","$502,128","69,647","$391,753","$81,075","$512,793"
Wood,"48,250","$131,140","$36,156","$175,749","45,156","$142,682","$26,975","$202,324","45,528","$97,156","$24,015","$151,083","45,528","$97,792","$29,900","$149,651","45,229","$140,391","$65,788","$226,696"
Yoakum,"7,418","$17,716","$3,150","$26,848","7,588","$16,563","$4,674","$22,714","8,773","$8,547","$5,217","$16,492","8,773","$10,414","$2,060","$13,951","9,109","$47,870","$7,368","$59,319"
Young,"18,018","$72,185","$30,162","$128,095","17,834","$97,974","$40,993","$150,141","19,294","$56,069","$43,593","$110,045","19,294","$92,483","$55,075","$163,572","18,304","$127,454","$67,023","$208,436"
Zapata,"13,854","$11,950","$16,350","$32,567","13,727","$16,030","$20,950","$42,797","14,280","$19,050","$17,350","$41,267","14,280","$31,200","$12,725","$48,992","13,903","$29,594","$19,150","$67,332"
Zavala,"9,674","$23,051",$713,"$26,027","9,654","$10,171",$475,"$12,909","12,077","$10,737","$1,575","$14,575","12,077","$4,794",$550,"$7,607","12,338","$25,658","$6,057","$35,203"
