county,pop_2023,felExp_2023,misdExp_2023,totalExp_2023,pop_2022,felExp_2022,misdExp_2022,totalExp_2022,pop_2021,felExp_2021,misdExp_2021,totalExp_2021,pop_2020,felExp_2020,misdExp_2020,totalExp_2020,pop_2019,felExp_2019,misdExp_2019,totalExp_2019
Callahan,"14,605","$37,217","$10,625","$59,598","14,385","$40,444","$8,595","$50,904","14,027","$74,778","$10,560","$88,131","14,027","$81,328","$3,540","$86,543","14,102","$46,755","$1,145","$49,775"
Cameron,"424,884","$1,512,979","$1,013,623","$2,929,693","421,254","$868,296","$680,060","$1,815,584","426,144","$723,424","$443,661","$1,901,809","426,144","$729,018","$530,604","$2,023,724","425,849","$1,264,107","$932,775","$2,892,052"
Camp,"12,180","$76,597","$24,269","$120,901","12,533","$60,515","$40,960","$109,138","12,936","$67,752","$32,401","$105,211","12,936","$50,747","$44,881","$102,053","12,843","$27,896","$78,086","$109,883"
Carson,"5,687","$61,958","$1,556","$65,889","5,701","$43,569","$1,400","$50,715","5,875","$27,152","$1,182","$38,208","5,875","$47,780",$350,"$52,948","6,158","$84,245",$0,"$91,045"
Cass,"28,652","$172,354","$37,350","$214,904","28,712","$230,137","$28,200","$274,034","30,243","$167,104","$27,011","$214,149","30,243","$117,172","$41,464","$175,695","30,892","$210,623","$58,894","$287,928"
Castro,"7,263","$42,465",$700,"$48,553","7,202","$36,382",$0,"$37,897","7,260","$10,500",$0,"$12,015","7,260","$16,214",$0,"$18,465","7,672","$31,163",$900,"$34,810"
Chambers,"52,178","$450,824","$173,588","$670,435","50,709","$515,224","$109,980","$641,788","44,944","$260,373","$55,400","$368,202","44,944","$267,495","$61,150","$375,106","43,819","$458,409","$62,569","$552,727"
Cherokee,"51,571","$330,667","$23,155","$365,081","51,479","$417,709","$25,596","$459,281","53,558","$245,380","$16,600","$289,677","53,558","$195,119","$18,985","$217,904","53,375","$247,347","$33,939","$289,211"
Childress,"6,828","$61,261","$3,450","$67,444","6,729","$45,649","$2,800","$55,796","7,052","$38,116",$800,"$53,976","7,052","$71,699","$5,550","$81,503","7,007","$141,497","$7,798","$155,959"
Clay,"10,507","$47,644","$2,980","$58,104","10,153","$29,347","$5,395","$41,372","10,317","$28,964","$1,625","$37,219","10,317","$32,432","$2,295","$43,788","10,428","$34,861","$2,850","$46,255"
Cochran,"2,536","$5,805",$500,"$16,872","2,549","$26,087","$1,700","$34,047","2,890","$11,039","$1,200","$13,539","2,890","$6,416","$2,300","$15,343","2,931","$19,152","$1,700","$24,679"
Coke,"3,304","$13,050",$0,"$18,504","3,310","$16,104",$0,"$22,036","3,400","$39,059",$400,"$40,459","3,400","$33,581","$1,440","$36,021","3,340","$7,900",$400,"$9,899"
Coleman,"7,753","$31,847","$5,300","$49,479","7,687","$39,200","$5,200","$47,607","8,041","$29,870","$1,700","$37,917","8,041","$31,814","$3,600","$38,979","8,483","$36,226","$7,484","$48,869"
Collin,"1,190,111","$4,117,899","$2,236,342","$7,990,768","1,121,133","$4,124,436","$2,000,039","$7,329,321","1,047,901","$3,805,117","$1,786,624","$6,791,130","1,047,901","$3,978,669","$1,490,464","$6,787,700","1,018,952","$4,335,787","$2,011,938","$7,792,404"
Collingsworth,"2,554","$6,829",$430,"$9,801","2,602","$66,876",$250,"$70,876","2,802","$13,216",$0,"$14,216","2,802","$8,808",$0,"$11,254","2,943","$11,626",$730,"$16,866"
Colorado,"20,713","$4,750","$2,500","$253,570","20,639","$3,500",$500,"$224,324","22,566","$3,058","$1,500","$209,171","22,566","$4,535",$900,"$215,166","21,662","$5,400","$4,400","$212,376"
Comal,"189,592","$949,232","$274,342","$1,264,100","182,669","$652,033","$250,676","$930,762","161,328","$453,334","$208,508","$700,579","161,328","$682,556","$214,226","$933,632","149,993","$623,499","$401,698","$1,071,475"
Comanche,"14,335","$62,409","$30,780","$132,000","13,838","$144,753","$22,842","$188,997","13,848","$45,765","$14,121","$79,921","13,848","$48,146","$18,939","$78,560","13,915","$57,975","$12,556","$77,880"
Concho,"3,363","$173,620",$0,"$182,046","3,326","$64,034","$1,143","$75,506","2,715","$3,960",$400,"$5,360","2,715","$23,398","$1,200","$30,293","2,044","$38,832",$800,"$40,692"
Cooke,"43,219","$193,495","$19,750","$280,012","42,164","$281,910","$40,409","$365,969","40,685","$187,571","$41,146","$278,909","40,685","$219,631","$55,983","$330,851","40,176","$273,976","$81,679","$390,843"
Coryell,"84,946","$430,997","$80,200","$565,622","85,007","$479,662","$79,247","$602,874","75,657","$275,396","$77,960","$394,797","75,657","$243,947","$59,850","$427,091","74,095","$356,809","$87,543","$568,980"
Cottle,"1,300","$6,405",$300,"$11,130","1,381","$18,929",$0,"$23,248","1,346","$8,375",$0,"$9,375","1,346","$3,674",$0,"$4,674","1,373","$32,623",$150,"$34,103"
Crane,"4,821","$43,890","$8,000","$56,662","4,679","$45,285","$5,150","$52,707","4,670","$27,854","$3,300","$36,426","4,670","$25,004","$5,050","$33,676","4,696","$18,050","$4,300","$25,337"
Crockett,"3,009","$96,336","$15,495","$113,967","3,060","$45,141","$22,327","$69,604","3,465","$39,363","$19,445","$58,808","3,465","$56,301","$18,700","$80,273","3,428","$48,682","$25,697","$77,194"
Crosby,"4,910","$11,425","$9,750","$28,997","5,016","$4,235","$1,410","$13,122","5,658","$3,100","$1,050","$6,770","5,658","$7,100","$1,650","$11,370","5,769","$9,658","$1,300","$14,381"
Culberson,"2,116",$0,$0,"$781,109","2,194","$2,160",$0,"$653,481","2,228",$350,$0,"$580,047","2,228",$0,$0,"$545,285","2,154","$4,000",$0,"$427,751"
Dallam,"7,173","$41,668","$20,594","$64,933","7,183","$33,893","$19,937","$56,392","6,929","$34,750","$19,857","$56,393","6,929","$42,504","$19,093","$63,539","7,310","$36,247","$18,386","$56,898"
Dallas,"2,636,564","$14,205,777","$2,568,052","$37,044,366","2,595,878","$10,475,313","$2,431,585","$30,206,211","2,647,627","$8,239,790","$1,716,141","$31,666,238","2,647,627","$9,753,539","$2,176,818","$32,511,082","2,650,320","$13,420,299","$2,927,885","$37,533,215"
Dawson,"11,930","$76,054","$18,000","$102,992","12,438","$33,460","$17,500","$63,255","12,652","$35,190","$8,500","$52,176","12,652","$41,856","$5,950","$60,580","12,544","$46,089","$6,800","$62,852"
Deaf Smith,"18,392","$240,020",$900,"$276,241","18,315","$148,427","$2,308","$167,365","19,572","$96,946","$3,505","$131,740","19,572","$121,918","$6,640","$146,107","19,461","$187,375","$2,285","$213,107"
Delta,"5,483","$25,400","$6,400","$32,100","5,345","$20,000","$4,200","$25,100","5,304","$7,800","$1,000","$8,800","5,304","$5,100","$2,700","$8,050","5,254","$12,100","$4,600","$17,200"
Denton,"995,510","$3,574,209","$1,446,376","$5,339,732","957,367","$2,994,898","$1,345,256","$4,571,496","904,005","$3,126,204","$1,261,641","$4,625,432","904,005","$2,536,339","$1,011,837","$3,776,878","861,357","$2,996,541","$1,291,772","$4,576,917"
DeWitt,"19,506","$213,627","$8,050","$234,333","19,875","$193,180","$10,563","$218,947","20,459","$153,698","$10,933","$178,889","20,459","$122,222","$19,612","$151,359","20,860","$101,041","$27,324","$139,518"
Dickens,"1,737","$4,565",$300,"$5,865","1,726","$2,000","$1,100","$4,100","2,054","$3,200",$100,"$4,300","2,054","$2,624",$0,"$3,624","2,271","$8,602","$1,500","$11,202"
Dimmit,"8,280","$45,473","$12,100","$61,618","8,557","$15,828","$1,902","$21,915","9,426","$2,333",$0,"$6,343","9,426","$9,895","$2,137","$16,967","10,020","$29,093","$2,025","$36,358"
Donley,"3,270","$13,822",$0,"$20,446","3,287","$20,493",$0,"$24,281","3,170","$16,988",$0,"$21,515","3,170","$14,514",$460,"$21,416","3,359","$65,782",$570,"$70,931"
Duval,"9,912","$5,035",$700,"$54,129","9,385","$8,397",$900,"$58,141","10,860",$0,"$1,550","$51,759","10,860","$4,400",$0,"$55,324","10,949","$6,730",$800,"$112,777"
