county,disposed_2022,disposed_2021,disposed_2020,disposed_2019,disposed_2018,paid_2022,paid_2021,paid_2020,paid_2019,paid_2018
Hidalgo,"11,381","6,394","8,672","5,408","10,507","7,129","16,141","10,830","15,312","10,254"
Hill,637,294,602,229,753,343,971,394,939,383
Hockley,286,137,248,158,320,131,448,219,505,190
Hood,747,321,803,380,632,284,915,471,989,537
Hopkins,487,191,468,68,672,67,768,80,808,61
Houston,373,234,288,213,267,209,313,215,368,299
Howard,937,180,623,138,649,98,624,147,875,244
Hudspeth,2,7,53,2,44,8,74,33,75,29
Hunt,"1,279",855,"1,170",694,713,460,"1,637",776,"1,714",823
Hutchinson,360,180,375,112,249,64,424,69,337,51
Irion,7,2,7,0,25,0,18,0,48,0
Jack,134,51,142,52,142,48,105,28,138,36
Jackson,435,80,435,54,442,45,444,72,479,75
Jasper,448,200,418,163,319,135,585,214,514,207
Jeff,22,4,4,0,23,5,41,5,40,9
Jefferson,"3,662","1,873","3,642","1,531","2,852",602,"4,706",574,"4,236",395
Jim,20,101,7,5,5,9,62,41,42,10
Jim,331,268,275,88,409,161,535,133,508,10
Johnson,"1,861",737,"1,667",589,"1,821",547,"2,248",894,"2,293","1,098"
Jones,205,96,162,94,239,129,273,153,240,177
Karnes,373,258,240,105,296,123,375,169,235,133
Kaufman,"1,440",855,"1,316",826,"1,288",776,"2,107","1,065","2,036",996
Kendall,718,308,679,234,635,233,"1,059",278,962,117
Kenedy,93,2,30,4,86,12,161,5,34,7
Kent,0,0,7,0,3,0,3,0,13, 
Kerr,986,566,846,209,818,592,"1,563",650,"1,233",645
Kimble,95,16,84,0,98,6,186,8,94,9
King,0,0,0, ,3, ,3, ,103, 
Kinney,965,0,31,1,36,0,49,1,94,13
Kleberg,796,621,790,565,650,472,967,721,894,526
Knox,36,0,29,19,30,3,46,8,52,14
Lamar,618,564,651,548,513,389,959,336,"1,253",441
Lamb,134,43,62,38,110,48,102,57,109,60
Lampasas,268,71,253,54,302,52,370,65,385,62
La,306,36,214,24,140,37,451,87,321,82
Lavaca,164,10,141,89,179,80,279,147,273,120
Lee,377,128,440,144,478,144,587,192,480,140
Leon,98,30,104,43,174,34,279,77,278,96
Liberty,"1,191",692,"1,082",643,"1,197",388,"1,655",350,"1,647",482
Limestone,282,84,218,73,251,88,376,136,433,183
Lipscomb,22,7,0,0,14,7,13,7,22,8
Live,270,85,262,67,218,84,331,148,233,165
Llano,352,117,409,76,287,47,463,53,374,56
Loving,67,2,85,1,65,2,19,0,23,0
Lubbock,355,"2,587","1,701","3,002","2,492","3,480","2,950","3,776","3,478","4,217"
Lynn,124,33,33,22,62,15,140,21,131,23
McCulloch,135,41,156,37,75,20,195,43,202,20
McLennan,"3,818","2,199","2,567","1,843","2,425","1,814","5,056","2,838","4,097","2,710"
McMullen,78,17,73,13,57,22,59,17,20,17
Madison,223,43,170,65,284,135,319,196,434,211
Marion,98,45,118,57,130,50,167,107,213,156
Martin,95,1,159,4,288,2,105,0,109,1
Mason,32,6,23,6,13,3,33,11,63,12
Matagorda,520,62,482,63,522,52,754,83,782,53
Maverick,"1,518",0,698,11,486,28,657,31,"1,470",25
Medina,600,461,739,266,528,156,554,254,787,319
Menard,50,11,54,8,38,6,72,16,78,6
Midland,"4,070",954,"2,723",435,"2,622",453,"3,853",575,"4,057",562
Milam,497,26,541,39,468,41,563,61,609,69
Mills,67,4,39,6,45,7,77,9,76,13
Mitchell,218,19,125,13,126,12,144,6,318,13
Montague,205,23,249,19,225,22,293,48,387,56
Montgomery,"10,113","3,940","8,990","3,274","7,792","3,270","10,307","4,074","10,745","4,014"
Moore,893,382,356,328,428,117,763,272,605,305
Morris,184,14,232,21,219,22,178,54,205,23
Motley,2,3,0,1,3,0,3,5,9,5
Nacogdoches,"3,319",838,"1,772",583,"1,788",522,"2,245",646,"2,471",628
Navarro,"1,165",430,848,304,804,386,"2,203",453,"1,852",366
Newton,87,18,127,32,53,14,134,35,167,18
Nolan,247,68,400,54,527,133,353,190,415,173
Nueces,"5,303","4,025","4,841","2,706","4,704","2,200","8,439","3,275","5,156","2,259"
Ochiltree,141,52,156,35,162,51,173,48,244,92
Oldham,155,29,147,21,109,16,129,11,54,8
Orange,729,267,746,400,684,320,"1,085",457,"1,053",534
Palo,339,60,322,53,398,60,456,52,459,64
Panola,340,99,305,80,180,114,436,128,367,129
Parker,"1,533",272,"1,369",270,"1,449",302,"2,308",399,"2,476",305
Parmer,148,1,153,3,157,3,238,13,185,13
Pecos,381,49,474,49,418,29,650,40,535,38
Polk,997,387,760,300,"1,385",258,"1,201",332,633,366
Potter,"1,399","1,114","1,026",746,877,404,"1,817",658,"2,419",670
Presidio,56,5,0,4,15,4,21,6,17,3
Rains,94,15,114,6,107,5,256,8,177,11
Randall,917,393,885,344,"1,076",352,"1,470",573,"1,444",343
Reagan,84,35,100,10,93,8,225,32,294,55
Real,34,0,35,7,70,19,62,16,89,21
Red,121,56,121,65,116,38,176,46,176,72
Reeves,285,35,452,15,449,6,391,15,411,59
Refugio,556,247,438,0,520,97,291,89,229,96
Roberts,55,1,43, ,16,1,33,1,19,1
Robertson,344,50,260,13,277,12,473,12,614,32
Rockwall,"2,010",882,"2,301",996,"1,443",727,"2,714","1,255","2,449","1,204"
Runnels,227,26,225,21,166,18,319,87,229,25
Rusk,644,128,706,89,488,74,667,69,"1,097",100
Sabine,247,73,216,53,152,11,268,29,341,8
San,139,6,53,14,91,0,144,0,111,0
San,417,8,316,8,261,13,411,24,387,24
San,"1,905",0,"2,248",476,"1,319",419,"1,684",459,"1,820",409
San,52,3,64,0,55,4,83,9,62,6
Schleicher,29,0,50,2,49,2,57,3,62,11
Scurry,281,64,329,64,220,3,271,0,169,11
Shackelford,70,26,70,12,56,23,80,18,56,33
Shelby,385,6,517,18,276,9,400,24,382,36
